Date,Open,High,Low,Close,Volume,Amount,Returns,Ret_Lag_1,Ret_Lag_2,Ret_Lag_3,Ret_Lag_5,Ret_Lag_10,RSI_6,RSI_12,MACD_Diff,MACD_Dea,MACD_Hist,ATR,Body_Ratio,MA20,Bias_20,Next_Ret,Target
2018-01-29,430.19,432.99,422.79,427.99,225046,10608507904.0,0.000935475572394262,0.031854050532107436,-0.025858623851054308,-0.012993340912782259,0.018591452824188393,-0.022579593065556125,68.03277230802144,72.11754253820173,12.25896435056518,9.876085123127078,2.382879227438101,10.282860585450406,-0.21568627448865732,402.90999999999997,0.06224715196942256,-0.022897731255403175,-1
2018-01-30,419.59,425.99,417.59,418.19,222557,10333929472.0,-0.022897731255403175,0.000935475572394262,0.031854050532107436,-0.025858623851054308,0.0350632820192609,0.028234810955106715,53.807297762340056,63.82670047455725,11.67592013824708,10.23605212615108,1.4398680120959995,10.291227686489666,-0.166666666646822,405.11,0.032287526844560696,0.004304263612233683,0
2018-01-31,411.99,424.79,411.59,419.99,276092,12754797568.0,0.004304263612233683,-0.022897731255403175,0.000935475572394262,0.031854050532107436,-0.012993340912782259,0.011982326069048144,55.84237983766163,64.64119889096798,11.229649941835532,10.43477168928797,0.7948782525475622,10.498997137454694,0.6060606060146903,407.18,0.031460287833390645,-0.008571632657920492,-1
2018-02-01,422.39,423.19,416.39,416.39,171194,7917368832.0,-0.008571632657920492,0.004304263612233683,-0.022897731255403175,0.000935475572394262,-0.025858623851054308,-0.002960112484274413,50.502486712281886,61.61427156023783,10.464855344170246,10.440788420264427,0.024066923905818882,10.234783056207931,-0.8823529410467114,408.59,0.019090041361756314,-0.018252119407286327,-1
2018-02-02,415.39,416.39,407.39,408.79,243288,11080881152.0,-0.018252119407286327,-0.008571632657920492,0.004304263612233683,-0.022897731255403175,0.031854050532107436,0.011380786263885945,40.654095586483756,55.61642546871439,9.140131880538831,10.18065711231931,-1.040525231780478,10.146584266478794,-0.733333333251848,409.54999999999995,-0.001855695275302,-0.02788717923628281,-1
2018-02-05,390.19,402.19,389.19,397.39,403920,17778460672.0,-0.02788717923628281,-0.018252119407286327,-0.008571632657920492,0.004304263612233683,0.000935475572394262,0.018591452824188393,30.091532133302536,47.97447756202825,7.0886803705080865,9.562261763957064,-2.4735813934489776,10.821828247444596,0.5538461538035494,409.66999999999996,-0.029975346010203272,-0.07800900878230455,-1
2018-02-06,379.39,381.79,363.59,366.39,868497,36273332224.0,-0.07800900878230455,-0.02788717923628281,-0.018252119407286327,-0.008571632657920492,-0.022897731255403175,0.0350632820192609,16.284892120221713,34.08218699378364,2.9277006362046905,8.23534953840659,-5.307648902201899,12.463126229769983,-0.714285714246466,407.98,-0.10194127163096238,0.01310079423565047,1
2018-02-07,386.39,389.19,369.59,371.19,610517,25868890112.0,0.01310079423565047,-0.07800900878230455,-0.02788717923628281,-0.018252119407286327,0.004304263612233683,-0.012993340912782259,22.861133467830996,37.15612203285975,0.01721565193616925,6.591722761112506,-6.574507109176337,13.201474356214986,-0.7755102040420643,406.7,-0.0873125153675928,0.014547805705972694,1
2018-02-08,375.19,380.39,370.39,376.59,354379,14875059200.0,0.014547805705972694,0.01310079423565047,-0.07800900878230455,-0.02788717923628281,-0.008571632657920492,-0.025858623851054308,30.257296089321798,40.55805676565616,-1.832505810404541,4.906877046809097,-6.739382857213638,12.972797616485343,0.13999999998599771,406.24,-0.07298641197321788,-0.033989219044584185,-1
2018-02-09,359.39,367.39,354.39,363.79,691568,27953815552.0,-0.033989219044584185,0.014547805705972694,0.01310079423565047,-0.07800900878230455,-0.018252119407286327,0.031854050532107436,23.77356533007662,35.57784902246122,-4.281917146307933,3.0691182081856914,-7.351035354493624,13.631883501022104,0.3384615384355056,404.5,-0.10064276885043258,0.006047444954506709,1
2018-02-12,369.19,376.19,365.99,365.99,338540,14074697728.0,0.006047444954506709,-0.033989219044584185,0.014547805705972694,0.01310079423565047,-0.02788717923628281,0.000935475572394262,26.999920306647823,37.0276927639701,-5.976676259664657,1.2599593146156218,-7.236635574280279,13.543891822377667,-0.31372549016532025,403.32,-0.09255677873648711,0.03497363315937596,1
2018-02-13,375.59,381.99,374.39,378.79,237051,9999016960.0,0.03497363315937596,0.006047444954506709,-0.033989219044584185,0.014547805705972694,-0.07800900878230455,-0.022897731255403175,43.651559064982656,44.89859470437642,-6.2152860919565,-0.23508976669880255,-5.9801963252576975,13.719328120779261,0.42105263152355044,402.22999999999996,-0.05827511622703414,0.029567834420127115,1
2018-02-14,384.99,391.39,382.79,389.99,222853,9597172736.0,0.029567834420127115,0.03497363315937596,0.006047444954506709,-0.033989219044584185,0.01310079423565047,0.004304263612233683,54.539730526279975,50.77192426135366,-5.4379543526757175,-1.2756626838941856,-4.162291668781532,13.639376112152169,0.5813953487696075,401.46000000000004,-0.028570716883375744,0.034359855380907245,1
2018-02-15,400.79,403.39,398.19,403.39,163548,7268701184.0,0.034359855380907245,0.029567834420127115,0.03497363315937596,0.006047444954506709,0.014547805705972694,-0.008571632657920492,64.41249203358066,56.78420848596158,-3.6980169005021253,-1.7601335272157737,-1.9378833732863516,13.622277818427012,0.4999999999038407,401.41999999999996,0.004907578097753045,-0.0029747886660551615,0
2018-02-20,406.39,409.39,401.19,402.19,204820,9191829504.0,-0.0029747886660551615,0.034359855380907245,0.029567834420127115,0.03497363315937596,-0.033989219044584185,-0.018252119407286327,62.943513942491734,56.11468139704001,-2.3884018949472647,-1.885787200762072,-0.5026146941851928,13.23497225996794,-0.512195121888756,401.09000000000003,0.00274252661497411,0.030333921778263884,1
2018-02-21,404.99,414.39,403.59,414.39,204046,9252272128.0,0.030333921778263884,-0.0029747886660551615,0.034359855380907245,0.029567834420127115,0.006047444954506709,-0.02788717923628281,71.00954774932714,61.18987654780454,-0.36191262398608615,-1.5810122854068749,1.2190996614207887,13.161045669970228,0.8703703702897775,400.98999999999995,0.03341729220180063,-0.02799295349791253,-1
2018-02-22,411.39,411.59,402.79,402.79,223850,10103931904.0,-0.02799295349791253,0.030333921778263884,-0.0029747886660551615,0.034359855380907245,0.03497363315937596,-0.07800900878230455,56.88243562053713,54.63598854700452,0.3045608803166715,-1.2038976522621658,1.5084585325788373,13.049542407829495,-0.9772727271616747,399.58,0.008033435106862297,0.01737878298865403,1
2018-02-23,410.39,410.99,405.79,409.79,149921,6785912320.0,0.01737878298865403,-0.02799295349791253,0.030333921778263884,-0.0029747886660551615,0.029567834420127115,0.01310079423565047,62.311956798387165,57.62390843160813,1.381660510407869,-0.6867860197281588,2.0684465301360278,12.70314652155596,-0.11538461536241973,398.8,0.027557673019057195,-0.0009761097147320541,0
2018-02-26,412.39,413.39,404.79,409.39,212521,9607596032.0,-0.0009761097147320541,0.01737878298865403,-0.02799295349791253,0.030333921778263884,0.034359855380907245,0.014547805705972694,61.77851386653035,57.38827809510149,2.1778877361441005,-0.11385126855370686,2.2917390046978072,12.410064627159104,-0.3488372092617645,398.55,0.02719859490653613,-0.017098610127262548,-1
2018-02-27,414.39,414.39,398.59,402.39,220089,9892032512.0,-0.017098610127262548,-0.0009761097147320541,0.01737878298865403,-0.02799295349791253,-0.0029747886660551615,-0.033989219044584185,52.3645367934225,53.23268093933806,2.2184886937877195,0.35261672391457843,1.8658719698731412,12.652202868076312,-0.7594936708380062,397.29,0.012836970474967822,-0.03429508685603522,-1
2018-02-28,395.39,396.39,387.39,388.59,325601,14167755776.0,-0.03429508685603522,-0.017098610127262548,-0.0009761097147320541,0.01737878298865403,0.030333921778263884,0.006047444954506709,38.489356802043915,46.05968168451463,1.1241619375963978,0.5069257666509424,0.6172361709454555,12.81990266321372,-0.7555555554716062,395.32,-0.017024182940402758,0.03808641498751908,1
2018-03-01,386.39,403.79,384.39,403.39,271135,11933605888.0,0.03808641498751908,-0.03429508685603522,-0.017098610127262548,-0.0009761097147320541,-0.02799295349791253,0.03497363315937596,54.13105724827665,53.40532627331373,1.4345992432857884,0.6924604619779116,0.7421387813078768,13.289909615841314,0.8762886597486433,394.58,0.02232753814182169,-0.02726889610550587,-1
2018-03-02,393.39,396.99,392.39,392.39,258915,11341295616.0,-0.02726889610550587,0.03808641498751908,-0.03429508685603522,-0.017098610127262548,0.01737878298865403,0.029567834420127115,44.12372946403579,48.09483855780788,0.783977767762849,0.7107639231348991,0.07321384462794989,13.126344643281222,-0.21739130430056602,393.2,-0.002060020345879965,-0.028033334182828273,-1
2018-03-05,392.39,395.99,381.39,381.39,240387,10358474752.0,-0.028033334182828273,-0.02726889610550587,0.03808641498751908,-0.03429508685603522,-0.0009761097147320541,0.034359855380907245,36.11233022666101,43.38820799920561,-0.6121954995871306,0.4461720385904932,-1.0583675381776239,13.231605740189709,-0.753424657482641,391.45,-0.02569932302976115,0.03565903668161208,1
2018-03-06,391.39,400.39,386.39,394.99,248125,10862231552.0,0.03565903668161208,-0.028033334182828273,-0.02726889610550587,0.03808641498751908,-0.017098610127262548,-0.0029747886660551615,49.67013550205656,49.98921367424176,-0.6141865723020032,0.23410031641199397,-0.8482868887139972,13.64363390160473,0.2571428571244914,390.76000000000005,0.010825058859658001,-0.011139522519557521,-1
2018-03-07,391.59,397.59,386.39,390.59,192566,8378697728.0,-0.011139522519557521,0.03565903668161208,-0.028033334182828273,-0.02726889610550587,-0.03429508685603522,0.030333921778263884,45.88937231583719,48.013303834583525,-0.959744403377158,-0.00466862754583644,-0.9550757758313216,13.469088622918678,-0.08928571427774244,390.41999999999996,0.0004354285128836021,0.022530018689674636,1
2018-03-08,396.39,400.39,394.39,399.39,175064,7737290752.0,0.022530018689674636,-0.011139522519557521,0.03565903668161208,-0.028033334182828273,0.03808641498751908,-0.02799295349791253,54.247519539200376,52.14069615906279,-0.5175490356625119,-0.10724470916917153,-0.41030432649334037,13.207010864138773,0.49999999991666666,392.07,0.018670135434998836,0.010015273291769988,1
2018-03-09,401.39,404.59,401.39,403.39,130251,5813403648.0,0.010015273291769988,0.022530018689674636,-0.011139522519557521,0.03565903668161208,-0.02726889610550587,0.01737878298865403,57.80276812580344,53.9534808289925,0.15388664030382415,-0.055018439274572395,0.20890507957839655,12.63508151670029,0.6249999998046897,393.68,0.02466470229628119,0.032226877215597804,1
2018-03-12,411.79,416.39,411.19,416.39,255130,11660311552.0,0.032226877215597804,0.010015273291769988,0.022530018689674636,-0.011139522519557521,-0.028033334182828273,-0.0009761097147320541,67.61666530818184,59.40507488384154,1.7152235757155836,0.2990299637234588,1.4161936119921248,12.66114712265027,0.8846153844452617,395.66999999999996,0.052366871382718,0.00672446504478974,1
2018-03-13,416.39,419.19,412.19,419.19,185016,8515214336.0,0.00672446504478974,0.032226877215597804,0.010015273291769988,0.022530018689674636,0.03565903668161208,-0.017098610127262548,69.45288111476255,60.50379065744454,3.1423083704032706,0.8676856450594211,2.2746227253438493,12.256779471032393,0.3999999999428588,398.44,0.05207810460797109,0.0019084424723871951,0
2018-03-14,413.79,420.19,409.99,419.99,226118,10323251200.0,0.0019084424723871951,0.00672446504478974,0.032226877215597804,0.010015273291769988,-0.011139522519557521,-0.03429508685603522,70.03541819637152,60.83419156137785,4.288402629826351,1.5518290420128071,2.7365735878135435,12.109866651672936,0.607843137195309,401.14,0.04699107543501028,0.011905045358222788,1
2018-03-15,415.59,426.39,414.39,424.99,247026,11506629632.0,0.011905045358222788,0.0019084424723871951,0.00672446504478974,0.032226877215597804,0.022530018689674636,0.03808641498751908,73.78486111962702,62.94754151331007,5.536329441285204,2.3487291218672866,3.1876003194179177,12.1020190336963,0.7833333332680584,403.45,0.053389515429421296,-0.008000188239723371,-1
2018-03-16,423.39,429.19,421.59,421.59,238990,11179190272.0,-0.008000188239723371,0.011905045358222788,0.0019084424723871951,0.00672446504478974,0.010015273291769988,-0.02726889610550587,66.94900645085255,60.524863944192944,6.179732732983268,3.114929844090483,3.0648028888927854,11.780446245575137,-0.23684210523199525,405.03,0.04088586030664396,-0.008064707417158812,-1
2018-03-19,421.39,426.79,418.19,418.19,162870,7584356864.0,-0.008064707417158812,-0.008000188239723371,0.011905045358222788,0.0019084424723871951,0.032226877215597804,-0.028033334182828273,60.2506460474269,58.08605764660121,6.342174255162888,3.7603787263049644,2.5817955288579237,11.553271513748342,-0.372093023212545,405.77,0.030608472780146428,0.011478036299289895,1
2018-03-20,412.79,424.79,412.39,422.99,219533,10158755840.0,0.011478036299289895,-0.008064707417158812,-0.008000188239723371,0.011905045358222788,0.00672446504478974,0.03565903668161208,66.01164829443928,60.53514820152941,6.78007374684023,4.364317730412018,2.4157560164282126,11.613752119909178,0.82258064509495,406.81,0.03977286694034072,-0.009456488333057567,-1
2018-03-21,428.59,431.99,416.99,418.99,282440,13278687232.0,-0.009456488333057567,0.011478036299289895,-0.008064707417158812,-0.008000188239723371,0.0019084424723871951,-0.011139522519557521,57.65545673914843,57.48174878106314,6.726803277392605,4.836814839808135,1.8899884375844698,11.855626968487094,-0.639999999957331,407.04,0.029358294025157203,-0.05537124991049902,-1
2018-03-22,407.99,415.39,394.99,395.79,718483,32204687360.0,-0.05537124991049902,-0.009456488333057567,0.011478036299289895,-0.008064707417158812,0.011905045358222788,0.022530018689674636,30.650793302458254,43.57489441377115,4.757696177085904,4.82099110726369,-0.06329493017778542,12.72308218502373,-0.598039215656959,406.69,-0.02680174088371973,-0.04901589226610081,-1
2018-03-23,361.39,381.19,361.39,376.39,3084368,126000000000.0,-0.04901589226610081,-0.05537124991049902,-0.009456488333057567,0.011478036299289895,-0.008000188239723371,0.010015273291769988,20.850949101449558,35.69666112683382,1.6131513414941878,4.17942315410979,-2.566271812615602,14.271433457522036,0.7575757575374957,405.02000000000004,-0.07068786726581415,0.017535003586705233,1
2018-03-26,375.79,387.39,368.79,382.99,472997,19913242624.0,0.017535003586705233,-0.04901589226610081,-0.05537124991049902,-0.009456488333057567,-0.008064707417158812,0.032226877215597804,29.989253343177296,39.74010684441833,-0.34241115182118165,3.2750562929235953,-3.617467444744777,14.580616781984746,0.38709677417273686,403.7,-0.051300470646519644,0.01462179169168909,1
2018-03-27,391.59,394.99,386.59,388.59,426442,18516920320.0,0.01462179169168909,0.017535003586705233,-0.04901589226610081,-0.05537124991049902,0.011478036299289895,0.00672446504478974,37.35370825592637,43.054544230277706,-1.4239212402953854,2.3352607862797994,-3.7591820265751847,14.396287011842979,-0.35714285710033866,403.01,-0.03578074985732368,-0.051468128361512155,-1
2018-03-28,376.39,383.79,367.79,368.59,489647,20468643840.0,-0.051468128361512155,0.01462179169168909,0.017535003586705233,-0.04901589226610081,-0.009456488333057567,0.0019084424723871951,25.746692773765076,35.4564130206648,-3.8504727769598617,1.098114073631867,-4.948586850591729,14.85369508242562,-0.48749999996953197,402.01000000000005,-0.08313226039153272,-0.007053908136411602,-1
2018-03-29,370.39,373.39,361.59,365.99,411154,16899466240.0,-0.007053908136411602,-0.051468128361512155,0.01462179169168909,0.017535003586705233,-0.05537124991049902,0.011905045358222788,24.556341596773507,34.590690067929486,-5.91514451905357,-0.3045376449052203,-5.610606874148349,14.635574005109506,-0.372881355900601,400.14,-0.08534512920477827,-0.0005464630181152286,0
2018-04-03,360.99,368.79,356.99,365.79,328866,13371121664.0,-0.0005464630181152286,-0.007053908136411602,-0.051468128361512155,0.01462179169168909,-0.04901589226610081,-0.008000188239723371,24.451988406719522,34.51996072300089,-7.481310191416924,-1.7398921542075612,-5.741418037209362,14.433033004744543,0.40677966098247686,398.81,-0.08279631904917124,-0.03225894639000526,-1
2018-04-04,364.59,368.39,353.99,353.99,358617,14454637568.0,-0.03225894639000526,-0.0005464630181152286,-0.007053908136411602,-0.051468128361512155,0.017535003586705233,-0.008064707417158812,18.79667824146827,30.505239275445064,-9.564416513736717,-3.3047970261133925,-6.259619487623324,14.430673504405645,-0.736111111059991,397.44,-0.10932467793880835,0.02316449617220817,1
2018-04-06,361.19,365.99,356.79,362.19,265863,10780751872.0,0.02316449617220817,-0.03225894639000526,-0.0005464630181152286,-0.007053908136411602,0.01462179169168909,0.011478036299289895,31.925855982982455,36.13593535972234,-10.433352617961873,-4.730508144483089,-5.702844473478784,14.25705396837667,0.10869565216209844,395.8,-0.08491662455785753,0.011596123581545603,1
2018-04-09,364.39,370.99,360.59,366.39,212208,8701468672.0,0.011596123581545603,0.02316449617220817,-0.03225894639000526,-0.0005464630181152286,-0.051468128361512155,-0.009456488333057567,38.07927448433858,38.90199202503356,-10.6602016726344,-5.916446850113352,-4.743754822521049,13.981550113492625,0.19230769228920055,394.59000000000003,-0.07146658556983208,0.019651191353475816,1
2018-04-10,369.39,374.99,365.79,373.59,255840,10638298112.0,0.019651191353475816,0.011596123581545603,0.02316449617220817,-0.03225894639000526,-0.007053908136411602,-0.05537124991049902,47.78812860265719,43.48001845142577,-10.14208965937064,-6.7615754119648095,-3.3805142474058307,13.640010819671723,0.45652173908081217,393.3,-0.05011441647597263,0.006424154822131323,1
